PortName,PortLat,PortLong
Thomaston Harbor,44.071000000000005,-69.184
Port of Kiel,54.331,10.161
Port of Khanom,9.2078,99.881
Port of Bima,-8.4478,118.71
Port of Vadso,70.071,29.74
Port Roussillon,42.70399999999999,3.0364
Port of Turkmanbashi,40.0,53.028
Port of Turkmanbashi,40.0,53.027
Port of Oban,56.412,-5.4764
Lympstone Harbor,50.648,-3.4328
Port of Gdynia,54.533,18.541
 Port de Bormes-les-Mimosas,43.123000000000005,6.3642
Gudhjem Havne,55.213,14.97
Hyannis Harbor,41.647,-70.275
Port of Dholera,22.302,72.391
Tangier Harbor,44.799,-62.69
Port of Inkoo,60.042,24.006999999999998
Port of Sines,37.942,-8.8675
Port of Charlestown,17.136,-62.631
Port of Pennington,4.2889,5.8878
Circolo Nautico Carbonifera,42.95,10.682
Port of Berwick,55.763000000000005,-1.9992
Port of Ambon,-3.6961,128.17
Iwaki Harbor,37.001,140.98
Port of Sungai Pakning,1.3444,102.16
Port of Vopnafjordur,65.756,-14.821
Port of Vopnafjordur,65.756,-14.822000000000001
Port of Ringkobing,56.088,8.2375
Tangier Harbor,44.799,-62.68899999999999
Port of Lagny-Saint Thibault,48.88,2.6964
Lynaes Havn,55.943000000000005,11.867
Porto di Le Vignole,45.443999999999996,12.425
Port of Tropea,38.681,15.904000000000002
Harwich Harbor,51.948,1.2875
Punta Loyola,-51.611000000000004,-69.01
Port of Abbot Point,-19.883,148.08
Port of Nea Styra,38.177,24.206999999999997
Port of Taichung,24.258000000000003,120.51
Port of Unggi Hang,42.332,130.46
Elbeharbour,53.888999999999996,9.1747
Port of Faeringehavn,63.698,-51.544
Port of Ostrica,29.37,-89.54299999999999
San Joaquin Harbor,38.018,-121.75
Port of Tacloban,11.248,125.0
Port of Fowey,50.336000000000006,-4.6328
Port of Klawock,55.553999999999995,-133.09
Port of Banaba,-0.8688899999999999,169.54
Port of Wuhu,31.33,118.35
Port of Uusikaupunki,60.795,21.383000000000003
Port of Catskill,42.211999999999996,-73.86
Port of Berdyansk,46.751000000000005,36.777
Port of Woodbridge Bay,15.312000000000001,-61.388999999999996
Port of Chalna,22.601,89.52600000000001
Two Harbors,33.439,-118.5
Port of Novgorod,56.293,44.121
Port of Fomboni,-12.29,43.755
Port of Almirante,9.2911,-82.39299999999999
Mont Louis Harbor,49.232,-65.732
Port of Phnom Penh,11.583,104.92
Goose Bay Harbor,53.38399999999999,-60.348
Port Neches,30.006999999999998,-93.965
Port of Ketchikan,55.347,-131.67
Freeport Container Port,26.524,-78.767
Calal de Caronte,43.403,5.0253
Port of Siracusa,37.066,15.29
Puerto Rico Harbor,27.781999999999996,-15.713
Port of Oarai,36.306,140.58
Port of Paranagua,-25.500999999999998,-48.521
Larymna Harbor,38.566,23.291
Port of Stewart,55.928999999999995,-129.99
Iyo Harbor,33.766,132.69
Port of Strahan,-42.158,145.32
Port of Foshan,22.979,113.12
Port of Danao Escalante,10.82,123.56
Port of Davao,7.1083,125.66
Port of Catbalogan,11.777000000000001,124.88
Port of Racine,42.733000000000004,-87.777
Wadi Feiran Terminal,28.739,33.205
Port of Norfolk,36.902,-76.298
Port de Saint Laurent du Var,43.656000000000006,7.1833
Port of St. Joseph,39.748000000000005,-94.859
Port of Crinan,56.091,-5.5572
Bogense Haven,55.568000000000005,10.079
Port of Saint George's,12.047,-61.751000000000005
Port of Godbout,49.323,-67.59
Ronne Havn,55.096000000000004,14.69
Port of Iligan,8.2322,124.23
Torre Pali Marina,39.838,18.208
Port of Manchester,53.471000000000004,-2.2917
Tuktoyaktuk Harbor,69.431,-132.99
Port Medway,44.131,-64.57600000000001
Port of Sydney,-33.861999999999995,151.19
Port of Mundra,22.737,69.708
Port of Lady Barron,-40.214,148.24
Beckingham Wharf,53.4,-0.78
Port of San Benedetto del Tronto,42.956,13.888
Port of Etajima,34.234,132.45
Port of Immingham,53.626999999999995,-0.19167
Pemiscot County Port,36.231,-89.70100000000001
Port of Bhavnagar,21.77,72.209
Le port de La Trinite sur Mer,47.589,-3.0253
Port of Brandenburg an der Havel,52.416000000000004,12.54
Port of Savusavu,-16.817999999999998,179.31
Port of Bellingham,48.74100000000001,-122.5
Port of Eufaula,31.906999999999996,-85.14399999999999
Port of Ornskoldsvik,63.276,18.730999999999998
Port of Jayapura,-2.5494,140.71
Port of Kristinehamn,59.313,14.085999999999999
Port of Fushiki,36.775999999999996,137.11
Calapan Terminal,13.427999999999999,121.19
Port of Zhangjiabu,37.008,122.17
Puerto de Puerto Chicama,-7.6936,-79.44
Port of Roccella Ionica,38.327,16.433
Port of Nordenham,53.488,8.4931
Quonset Point,41.585,-71.422
Port of Chester,39.84,-75.361
Port d'Evian,46.403,6.6017
Port of Vigo,42.243,-8.7317
Ryde Harbor,50.735,-1.1567
Port of Cetraro,39.527,15.919
Vineyard Haven Harbor,41.456,-70.59899999999999
Port of Klickitat,45.711999999999996,-121.47
Port of Shimonoseki,33.934,130.9
Port of Miike,33.012,130.41
Gosport Marina,50.795,-1.1167
Porto di Agropoli,40.352,14.982000000000001
Port of Bushehr,28.985,50.839
Breakwater Harbor,38.791,-75.108
Port of Puerto Bolivar,-3.2625,-80.00399999999999
Port of Manicore,-5.8119,-61.298
Port of Muntok,-2.0714,105.17
Port of Kilwa Kivinje,-8.7439,39.414
Port of Fethiye,36.626,29.103
Port de la Salis,43.568999999999996,7.1311
Port of Murom,55.574,42.071000000000005
Port of Ayvalik,39.32,26.691
Port of Imatra,61.211999999999996,28.718000000000004
Port of Coleraine,55.133,-6.675
Port Etel,47.659,-3.2075
Caracas Bay,12.078,-68.86399999999999
Port of Matadi,-5.8192,13.453
Seaton Sluice Harbor,55.083999999999996,-1.4739
Port of Philadelphia,39.895,-75.135
Port of Jiujiang,29.733,115.98
Port of Wanxian,30.8,108.4
Clarecastle Harbour,52.812,-8.9564
Port of Ciro Marina,39.37,17.135
Port of Douro,40.643,-8.7417
Port of Arbroath,56.555,-2.5839
Puerto de la Cruz,28.418000000000003,-16.549
Port of Itaqui,-2.5694,-44.371
Port of Freetown,8.4942,-13.212
Port of Tonnay-Charente,45.942,-0.89194
Port of Freetown,8.4942,-13.213
Port of Tartous,34.906,35.864000000000004
Port of Hallekis,58.63399999999999,13.442
Port of Dili,-8.5517,125.58
Port of Puerto Castilla,16.005,-85.973
Puerto de Mogan,27.816999999999997,-15.765
Mont Louis Harbor,49.233000000000004,-65.729
Soma Harbor,37.841,140.96
Port of Kalamata,37.023,22.113000000000003
Kavala Central Port Authority,40.931,24.403000000000002
Port of Karlshamn,56.163000000000004,14.863
Puerto de Samanco,-9.2558,-78.498
Port of Plomin,45.129,14.183
Clarecastle Harbour,52.812,-8.9572
Castro Porto,40.001,18.427
Riposto Harbor,37.731,15.209000000000001
Port of Szczecin,53.431000000000004,14.587
Port of Rio Gallegos,-51.611999999999995,-69.219
Port of Banda Aceh,5.5633,95.305
Playa de Humacao,18.163,-65.743
Port of Dumaguete,9.3139,123.31
Jurong Port,1.3044,103.72
Port of Oshawa,43.867,-78.824
Port of Onega,63.92,38.045
Port of Bau-Bau,-5.4544,122.61
Port of Isabel,10.907,124.43
Freeport of Riga,57.008,24.090999999999998
Port of Conflans-fin-d'Oise,48.99,2.0889
Dunvegan Harbor,57.441,-6.5903
Port of Fecamp,49.762,0.37111
Port Canaveral,28.412,-80.609
Port of Maratea,39.988,15.709000000000001
Sakskobing Havn,54.803000000000004,11.634
Puerto de Eten,-6.9353,-79.868
Vostochny Port,42.748000000000005,133.07
Port of Cozumel,20.495,-86.962
Port of Caleta Coloso,-23.756999999999998,-70.465
Knightstown Harbor,51.926,-10.287
Port of Morehead City,34.72,-76.699
Port of Alotau,-10.315999999999999,150.45
Port of Manila,14.524000000000001,120.95
Port of Dafni,40.214,24.221999999999998
