index,PortName,LAT1,LAT2,LAT3,LONG1,LONG2,LONG3,HarborSize,HarborType,LAT,LONG
181,PORT STANLEY,42,40,N,81,12,W,V,RN,42.666666666666664,-81.2
182,RONDEAU,42,16,N,81,54,W,S,CN,42.266666666666666,-81.9
183,PELEE I NORTH WHARF,41,49,N,82,40,W,V,CN,41.81666666666667,-82.66666666666667
184,PELEE I WEST DOCK,41,46,N,82,41,W,V,OR,41.766666666666666,-82.68333333333334
185,LEAMINGTON,42,2,N,82,36,W,V,OR,42.03333333333333,-82.6
186,KINGSVILLE,42,1,N,82,44,W,V,CB,42.016666666666666,-82.73333333333333
187,AMHERSTBURG,42,6,N,83,6,W,S,RN,42.1,-83.1
188,WINDSOR,42,19,N,83,2,W,M,RN,42.31666666666667,-83.03333333333333
189,TONAWANDA,43,2,N,78,53,W,S,RN,43.03333333333333,-78.88333333333334
190,BUFFALO,42,53,N,78,53,W,L,CB,42.88333333333333,-78.88333333333334
191,DUNKIRK,42,29,N,79,20,W,V,CB,42.483333333333334,-79.33333333333333
192,ERIE,42,9,N,80,6,W,S,CN,42.15,-80.1
193,CONNEAUT,41,58,N,80,33,W,S,RN,41.96666666666667,-80.55
194,ASHTABULA,41,54,N,80,48,W,S,RB,41.9,-80.8
195,FAIRPORT,41,46,N,81,18,W,S,RN,41.766666666666666,-81.3
196,CLEVELAND,41,30,N,81,43,W,L,CB,41.5,-81.71666666666667
197,LORAIN,41,28,N,82,11,W,S,RN,41.46666666666667,-82.18333333333334
198,VERMILION,41,26,N,82,22,W,V,RN,41.43333333333333,-82.36666666666666
199,HURON,41,24,N,82,33,W,S,RN,41.4,-82.55
200,SANDUSKY,41,27,N,82,43,W,S,CN,41.45,-82.71666666666667
201,PORT CLINTON,41,31,N,82,56,W,V,RN,41.516666666666666,-82.93333333333334
202,PUT IN BAY,41,39,N,82,49,W,V,CN,41.65,-82.81666666666666
203,TOLEDO,41,42,N,83,28,W,M,RN,41.7,-83.46666666666667
204,MONROE,41,53,N,83,20,W,V,RN,41.88333333333333,-83.33333333333333
205,TRENTON,42,8,N,83,10,W,V,RN,42.13333333333333,-83.16666666666667
206,WYANDOTTE,42,12,N,83,9,W,S,RN,42.2,-83.15
207,ROUGE RIVER,42,17,N,83,7,W,S,RN,42.28333333333333,-83.11666666666666
208,DETROIT,42,20,N,83,2,W,L,RN,42.333333333333336,-83.03333333333333
209,WALPOLE ISLAND,42,37,N,82,31,W,V,RN,42.61666666666667,-82.51666666666667
210,SOMBRA,42,43,N,82,29,W,V,RN,42.71666666666667,-82.48333333333333
211,COURTRIGHT,42,49,N,82,28,W,V,RN,42.81666666666667,-82.46666666666667
212,SARNIA,42,59,N,82,25,W,S,RN,42.983333333333334,-82.41666666666667
213,POINT EDWARD,43,0,N,82,25,W,S,RN,43.0,-82.41666666666667
214,GODERICH,43,45,N,81,44,W,S,CB,43.75,-81.73333333333333
215,PORT ELGIN,44,26,N,81,24,W,V,CB,44.43333333333333,-81.4
216,SOUTHAMPTON,44,30,N,81,23,W,V,CB,44.5,-81.38333333333334
217,TOBERMORY,45,16,N,81,40,W,V,CN,45.266666666666666,-81.66666666666667
218,LIONS HEAD,44,59,N,81,15,W,V,CB,44.983333333333334,-81.25
219,WIARTON,44,45,N,81,8,W,V,CN,44.75,-81.13333333333334
220,OWEN SOUND,44,35,N,80,56,W,S,RN,44.583333333333336,-80.93333333333334
221,MEAFORD,44,37,N,80,36,W,V,CB,44.61666666666667,-80.6
222,THORNBURY,44,34,N,80,27,W,V,CB,44.56666666666667,-80.45
223,COLLINGWOOD,44,30,N,80,14,W,S,CB,44.5,-80.23333333333333
224,PENETANGUISHENE,44,46,N,79,56,W,V,CN,44.766666666666666,-79.93333333333334
225,MIDLAND,44,45,N,79,55,W,S,CN,44.75,-79.91666666666667
226,TIFFIN,44,45,N,79,51,W,V,CN,44.75,-79.85
227,PORT MCNICOLL,44,45,N,79,48,W,V,CN,44.75,-79.8
228,VICTORIA HARBOUR,44,45,N,79,49,W,V,CN,44.75,-79.81666666666666
229,WAUBAUSHENE,44,46,N,79,43,W,V,CN,44.766666666666666,-79.71666666666667
230,PORT SEVERN,44,48,N,79,43,W,V,RN,44.8,-79.71666666666667
231,DEPOT HARBOUR,45,19,N,80,6,W,V,CN,45.31666666666667,-80.1
232,PARRY SOUND,45,20,N,80,2,W,S,CN,45.333333333333336,-80.03333333333333
233,BYNG INLET,45,46,N,80,34,W,V,CN,45.766666666666666,-80.56666666666666
234,KEY HARBOUR,45,53,N,80,45,W,V,CN,45.88333333333333,-80.75
235,KILLARNEY,45,58,N,81,31,W,V,CN,45.96666666666667,-81.51666666666667
236,MANITOWANING,45,45,N,81,48,W,V,CN,45.75,-81.8
237,SHEGUIANDAH,45,54,N,81,55,W,V,CN,45.9,-81.91666666666667
238,LITTLE CURRENT,45,59,N,81,56,W,S,CN,45.983333333333334,-81.93333333333334
239,HONORA,45,52,N,82,10,W,V,CN,45.86666666666667,-82.16666666666667
240,KAGAWONG,45,55,N,82,15,W,V,CN,45.916666666666664,-82.25
241,GORE BAY,45,55,N,82,28,W,V,CN,45.916666666666664,-82.46666666666667
242,MELDRUM BAY,45,56,N,83,7,W,V,CN,45.93333333333333,-83.11666666666666
243,BLIND RIVER,46,11,N,82,57,W,V,CN,46.18333333333333,-82.95
244,COCKBURN,45,57,N,83,19,W,V,CN,45.95,-83.31666666666666
245,THESSALON,46,15,N,83,34,W,V,CB,46.25,-83.56666666666666
246,BRUCE MINES,46,17,N,83,47,W,V,CN,46.28333333333333,-83.78333333333333
247,HILTON,46,15,N,83,53,W,V,CN,46.25,-83.88333333333334
248,DESBARATS,46,20,N,83,55,W,V,RN,46.333333333333336,-83.91666666666667
249,RICHARDS LANDING,46,18,N,84,2,W,V,CN,46.3,-84.03333333333333
250,SAULT STE MARIE,46,31,N,84,21,W,S,RN,46.516666666666666,-84.35
251,ALGONAC,42,37,N,82,31,W,V,RN,42.61666666666667,-82.51666666666667
252,MARINE CITY,42,43,N,82,30,W,V,RN,42.71666666666667,-82.5
253,ST CLAIR,42,49,N,82,29,W,V,RN,42.81666666666667,-82.48333333333333
254,PORT HURON,43,0,N,82,26,W,V,RN,43.0,-82.43333333333334
255,HARBOR BEACH,43,51,N,82,39,W,V,CB,43.85,-82.65
256,PORT HOPE,43,57,N,82,42,W,V,OR,43.95,-82.7
257,BAY CITY,43,36,N,83,52,W,S,RN,43.6,-83.86666666666666
258,SAGINAW,43,26,N,83,56,W,S,RN,43.43333333333333,-83.93333333333334
259,ALABASTER,44,11,N,83,33,W,V,OR,44.18333333333333,-83.55
260,TAWAS CITY,44,16,N,83,30,W,V,CN,44.266666666666666,-83.5
261,AU SABLE,44,24,N,83,19,W,V,RN,44.4,-83.31666666666666
262,OSCODA,44,25,N,83,19,W,V,RN,44.416666666666664,-83.31666666666666
263,ALPENA,45,4,N,83,25,W,S,CN,45.06666666666667,-83.41666666666667
264,ROCKPORT,45,12,N,83,23,W,V,OR,45.2,-83.38333333333334
265,CALCITE,45,25,N,83,47,W,V,CB,45.416666666666664,-83.78333333333333
266,ROGERS CITY,45,27,N,83,49,W,V,OR,45.45,-83.81666666666666
267,CHEBOYGAN,45,39,N,84,28,W,S,RN,45.65,-84.46666666666667
268,MACKINAW CITY,45,47,N,84,43,W,V,LC,45.78333333333333,-84.71666666666667
269,MACKINAC ISLAND,45,51,N,84,37,W,V,CB,45.85,-84.61666666666666
270,ST IGNACE,45,51,N,84,43,W,V,CN,45.85,-84.71666666666667
271,SAULT STE MARIE,46,30,N,84,21,W,S,RN,46.5,-84.35
272,ST. JAMES HARBOR,45,44,N,85,31,W,V,CN,45.733333333333334,-85.51666666666667
273,HARBOR SPRINGS,45,26,N,84,59,W,V,CN,45.43333333333333,-84.98333333333333
274,PETOSKEY,45,22,N,84,58,W,V,CB,45.36666666666667,-84.96666666666667
